DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:5727	uterine ligament cancer	neoplasm of the uterine ligament|neoplasm of uterine ligament|tumor of the uterine ligament|tumour of the uterine ligament|uterine ligament cancer|uterine ligament cancers|uterine ligament neoplasm|uterine ligament neoplasms|uterine ligament tumor|uterine ligament tumors|uterine ligament tumour|uterine ligament tumours
DOID:5740	small intestinal vasoactive intestinal peptide producing tumor	small intestinal vasoactive intestinal peptide producing tumor|small intestinal vasoactive intestinal peptide producing tumors|small intestinal vasoactive intestinal peptide producing tumour|small intestinal vasoactive intestinal peptide producing tumours|small intestinal vip producing tumor|small intestinal vip producing tumors|small intestinal vip producing tumour|small intestinal vip producing tumours|small intestinal vip-producing net|small intestinal vip-producing neuroendocrine tumor|small intestinal vip-producing neuroendocrine tumors|small intestinal vip-producing neuroendocrine tumour|small intestinal vip-producing neuroendocrine tumours|small intestinal vipoma|small intestinal vipomas
DOID:5741	pancreatic vasoactive intestinal peptide producing tumor	pancreatic vasoactive intestinal peptide producing neoplasm|pancreatic vasoactive intestinal peptide producing neoplasms|pancreatic vasoactive intestinal peptide producing tumor|pancreatic vasoactive intestinal peptide producing tumors|pancreatic vasoactive intestinal peptide producing tumour|pancreatic vasoactive intestinal peptide producing tumours|pancreatic vip producing neoplasm|pancreatic vip producing neoplasms|pancreatic vip producing net|pancreatic vip producing tumor|pancreatic vip producing tumors|pancreatic vip producing tumour|pancreatic vip producing tumours|pancreatic vip-producing neuroendocrine tumor|pancreatic vip-producing neuroendocrine tumors|pancreatic vip-producing neuroendocrine tumour|pancreatic vip-producing neuroendocrine tumours|pancreatic vipoma|pancreatic vipomas|vipoma of pancreas
DOID:5742	pancreatic acinar cell adenocarcinoma	acinar cell adenocarcinoma of pancreas|acinar cell adenocarcinoma of the pancreas|acinar cell carcinoma of pancreas|acinar cell carcinoma of the pancreas|pancreas acinar cell adenocarcinoma|pancreas acinar cell adenocarcinomas|pancreatic acinar cell adenocarcinoma|pancreatic acinar cell adenocarcinomas|pancreatic acinar cell carcinoma|pancreatic acinar cell carcinomas
DOID:5743	acinic cell breast carcinoma	acinic cell breast carcinoma|acinic cell breast carcinomas|breast acinic cell carcinoma|breast acinic cell carcinomas
DOID:5744	ovary serous adenocarcinoma	malignant ovarian serous tumor|malignant ovarian serous tumors|malignant ovarian serous tumour|malignant ovarian serous tumours|ovarian adenocarcinoma serous|ovarian serous adenocarcinoma|ovarian serous adenocarcinomas|ovary serous adenocarcinoma|ovary serous adenocarcinomas|serous adenocarcinoma of ovary|serous adenocarcinoma of the ovary|serous carcinoma of ovary|serous carcinoma of the ovary
DOID:5746	ovarian serous cystadenocarcinoma	cystadenocarcinoma ovarian serous|cystadenocarcinoma ovary serous|ovarian serous cystadenocarcinoma|ovarian serous cystadenocarcinomas|serous cystadenocarcinoma of ovary|serous cystadenocarcinoma of the ovary|serous cystadenocarcinoma ovary|serous cystadenoma|serous cystadenomas|serous ovarian cystadenocarcinoma|serous ovarian cystadenocarcinomas
DOID:5747	uterine ligament serous adenocarcinoma	uterine ligament serous adenocarcinoma|uterine ligament serous adenocarcinomas
DOID:5750	endometrial serous adenocarcinoma	endometrial papillary serous carcinoma|endometrial papillary serous carcinomas|endometrial serous adenocarcinoma|endometrial serous adenocarcinomas|papillary carcinoma of the uterus|papillary carcinoma of uterus|papillary serous endometrial carcinoma|papillary serous endometrial carcinomas|uterine corpus serous adenocarcinoma|uterine corpus serous adenocarcinomas|uterine papillary serous carcinoma|uterine papillary serous carcinomas|uterine serous adenocarcinoma|uterine serous adenocarcinomas|uterine serous carcinoma|uterine serous carcinomas|uterine serous papillary adenocarcinoma|uterine serous papillary adenocarcinomas
DOID:5751	pancreatic serous cystadenocarcinoma	pancreatic serous cystadenocarcinoma|pancreatic serous cystadenocarcinomas|serous cystadenocarcinoma of pancreas|serous cystadenocarcinoma of the pancreas
DOID:5752	cervical serous adenocarcinoma	cervical serous adenocarcinoma|cervical serous adenocarcinomas
DOID:5758	malignant mesenchymoma	malignant mesenchymal tumor|malignant mesenchymal tumors|malignant mesenchymal tumour|malignant mesenchymal tumours|malignant mesenchymoma|malignant mesenchymoma nos|malignant mesenchymoma stage unspecified|malignant mesenchymomas|mesenchymomas malignant|mixed mesenchymal sarcoma|mixed mesenchymal sarcomas
DOID:5760	sebaceous breast carcinoma	breast sebaceous carcinoma|breast sebaceous carcinomas|sebaceous breast carcinoma|sebaceous breast carcinomas
DOID:5761	vulvar sebaceous carcinoma	vulvar sebaceous carcinoma|vulvar sebaceous carcinomas
DOID:5764	lung meningioma	lung meningioma|lung meningiomas|lung primary meningioma|lung primary meningiomas|meningioma of lung|meningioma of the lung|primary lung meningioma|primary lung meningiomas|primary meningioma of lung|primary meningioma of the lung|primary pulmonary meningioma|primary pulmonary meningiomas|pulmonary meningioma|pulmonary meningiomas
DOID:5772	central nervous system hematologic cancer	central nervous system hematologic cancer|central nervous system hematologic cancers|central nervous system hematopoietic neoplasm|central nervous system hematopoietic neoplasms|central nervous system hematopoietic tumor|central nervous system hematopoietic tumors|central nervous system hematopoietic tumour|central nervous system hematopoietic tumours|cns hematopoietic neoplasm|cns hematopoietic neoplasms|cns hematopoietic tumor|cns hematopoietic tumors|cns hematopoietic tumour|cns hematopoietic tumours|hematopoietic neoplasm of central nervous system|hematopoietic neoplasm of cns|hematopoietic neoplasm of the central nervous system|hematopoietic neoplasm of the cns|hematopoietic tumor of central nervous system|hematopoietic tumor of the central nervous system|hematopoietic tumour of central nervous system|hematopoietic tumour of the central nervous system|lymphomas and hemopoietic neoplasms of cns|lymphomas and hemopoietic neoplasms of the cns
DOID:5777	rectum neuroendocrine neoplasm	neuroendocrine neoplasm of rectum|neuroendocrine neoplasm of the rectum|neuroendocrine tumor of rectum|neuroendocrine tumour of rectum|rectal neuroendocrine neoplasm|rectal neuroendocrine neoplasms|rectum neuroendocrine neoplasm|rectum neuroendocrine neoplasms
DOID:5784	esophageal neuroendocrine tumor	esophageal nen|esophageal net|esophageal neuroendocrine neoplasm|esophageal neuroendocrine neoplasms|esophageal neuroendocrine tumor|esophageal neuroendocrine tumors|esophageal neuroendocrine tumour|esophageal neuroendocrine tumours|esophageal well differentiated endocrine tumor|esophageal well differentiated endocrine tumor/carcinoma|esophageal well differentiated endocrine tumor/carcinomas|esophageal well differentiated endocrine tumors|esophageal well differentiated endocrine tumour|esophageal well differentiated endocrine tumour/carcinoma|esophageal well differentiated endocrine tumour/carcinomas|esophageal well differentiated endocrine tumours|nen of esophagus|neuroendocrine neoplasm of esophagus|neuroendocrine neoplasm of the esophagus|neuroendocrine tumor of esophagus|neuroendocrine tumour of esophagus|neuroendocrine tumour of oesophagus
DOID:5789	mixed hepatoblastoma	mixed epithelial and mesenchymal hepatoblastoma|mixed epithelial and mesenchymal hepatoblastomas|mixed epithelial-mesenchymal hepatoblastoma|mixed epithelial-mesenchymal hepatoblastomas|mixed hepatoblastoma|mixed hepatoblastomas
DOID:5798	macrotrabecular hepatoblastoma	macrotrabecular hepatoblastoma|macrotrabecular hepatoblastomas
DOID:5809	childhood parosteal osteogenic sarcoma	childhood parosteal osteogenic sarcoma|childhood parosteal osteogenic sarcomas|childhood parosteal osteosarcoma|childhood parosteal osteosarcomas
DOID:5815	cerebral lymphoma	brain lymphoma|brain lymphoma primary|brain lymphomas|brain primary lymphoma|brain primary lymphomas|cerebral lymphoma|cerebral lymphoma primary|cerebral lymphomas|lymphoma brain|malignant lymphoma of brain|malignant neoplasm lymphoma of brain primary|primary brain lymphoma|primary brain lymphomas|primary cerebral lymphoma|primary cerebral lymphomas|primary lymphoma of brain|primary lymphoma of cerebrum|primary lymphoma of the cerebrum|primary malignant lymphoma of brain
DOID:5820	composite lymphoma	composite hodgkin and non-hodgkin lymphoma|composite hodgkin and non-hodgkin lymphomas|composite lymphoma|composite lymphomas
DOID:5821	methotrexate-associated lymphoproliferation	lymphoproliferative disease caused by methotrexate|lymphoproliferative disorder caused by methotrexate|methotrexate-associated lymphoproliferation|methotrexate-associated lymphoproliferative disorder|methotrexate-associated lymphoproliferative disorders|mtx-associated lymphoproliferative disorders|mtx-lpd
DOID:5822	gray zone lymphoma	b-cell lymphoma unclassifiable with features intermediate between classical hodgkin lymphoma and diffuse large b-cell lymphoma|b-cell lymphoma unclassifiable with features intermediate between classical hodgkin lymphoma and diffuse large b-cell lymphomas|gray zone lymphoma|gray zone lymphomas|grey zone lymphoma|grey zone lymphomas|hodgkin-like anaplastic large cell lymphoma|hodgkin-like anaplastic large cell lymphomas|large b-cell lymphoma with hodgkin features
DOID:5823	childhood lymphoma	childhood lymphoma|childhood lymphomas|pediatric lymphoma|pediatric lymphomas
DOID:5825	adult lymphoma	adult lymphoma|adult lymphomas
DOID:5826	breast lymphoma	breast lymphoma|breast lymphomas|lymphoma of breast|lymphoma of the breast|malignant lymphoma of breast|primary breast lymphoma|primary breast lymphomas
DOID:5828	endometrioid ovary carcinoma	endometrioid adenocarcinoma of ovary|endometrioid adenocarcinoma of the ovary|endometrioid cancer of ovary|endometrioid cancer of the ovary|endometrioid carcinoma of ovary|endometrioid carcinoma of the ovary|endometrioid carcinoma ovary|endometrioid ovary carcinoma|endometrioid ovary carcinomas|ovarian endometrioid adenocarcinoma|ovarian endometrioid adenocarcinoma nos|ovarian endometrioid adenocarcinoma not otherwise specified|ovarian endometrioid adenocarcinomas|ovarian endometrioid cancer|ovarian endometrioid cancers|ovarian endometrioid carcinoma|ovarian endometrioid carcinomas|ovarian malignant carcinoma endometrioid
DOID:5829	uterine ligament endometrioid adenocarcinoma	broad ligament endometrioid adenocarcinoma|broad ligament endometrioid adenocarcinomas|uterine ligament endometrioid adenocarcinoma|uterine ligament endometrioid adenocarcinomas
DOID:5830	cervical endometrioid adenocarcinoma	cervical endometrioid adenocarcinoma|cervical endometrioid adenocarcinomas|cervical endometrioid carcinoma|cervical endometrioid carcinomas|cervix endometrioid adenocarcinoma|cervix endometrioid adenocarcinomas|cervix endometrioid carcinoma|cervix endometrioid carcinomas|cervix uteri endometrioid adenocarcinoma|cervix uteri endometrioid adenocarcinomas|cervix uteri endometrioid carcinoma|cervix uteri endometrioid carcinomas|endometrioid adenocarcinoma of cervix|endometrioid adenocarcinoma of cervix uteri|endometrioid adenocarcinoma of the cervix|endometrioid adenocarcinoma of the cervix uteri|endometrioid adenocarcinoma of the uterine cervix|endometrioid adenocarcinoma of uterine cervix|endometrioid carcinoma of cervix|endometrioid carcinoma of cervix uteri|endometrioid carcinoma of the cervix|endometrioid carcinoma of the cervix uteri|endometrioid carcinoma of the uterine cervix|endometrioid carcinoma of uterine cervix|uterine cervix endometrioid adenocarcinoma|uterine cervix endometrioid adenocarcinomas|uterine cervix endometrioid carcinoma|uterine cervix endometrioid carcinomas
DOID:5831	fallopian tube endometrioid adenocarcinoma	endometrioid adenocarcinoma of fallopian tube|endometrioid adenocarcinoma of the fallopian tube|endometrioid carcinoma of fallopian tube|endometrioid carcinoma of the fallopian tube|fallopian tube endometrioid adenocarcinoma|fallopian tube endometrioid adenocarcinomas|fallopian tube endometrioid cancer|fallopian tube endometrioid cancers|fallopian tube endometrioid carcinoma|fallopian tube endometrioid carcinomas|fallopian tube endometrioid neoplasm|fallopian tube endometrioid neoplasms|fallopian tube endometrioid tumor|fallopian tube endometrioid tumors|fallopian tube endometrioid tumour|fallopian tube endometrioid tumours
DOID:5834	spermatocytoma	spermatocytic seminoma|spermatocytic seminomas|spermatocytic tumor|spermatocytic tumors|spermatocytic tumour|spermatocytic tumours|spermatocytoma|spermatocytomas|testicular spermatocytic tumor|testicular spermatocytic tumors|testicular spermatocytic tumour|testicular spermatocytic tumours
DOID:5838	extragonadal seminoma	extragonadal primary seminoma|extragonadal primary seminomas|extragonadal seminoma|extragonadal seminomas|primary extragonadal seminoma|primary extragonadal seminomas
DOID:5842	testis seminoma	malignant neoplasm seminoma|malignant neoplasm seminomas|malignant seminoma|malignant seminomas|seminoma nos|seminoma of testis|seminoma testis|testicular seminoma pure|testis seminoma|testis seminomas
DOID:5859	periosteal chondrosarcoma	periosteal chondrosarcoma|periosteal chondrosarcomas
DOID:5861	myxoid chondrosarcoma	myxoid chondrosarcoma|myxoid chondrosarcomas
DOID:5862	localized chondrosarcoma	chondrosarcoma localised|chondrosarcoma localized|localized chondrosarcoma|localized chondrosarcomas
DOID:5866	juxtacortical chondrosarcoma	juxtacortical chondrosarcoma|juxtacortical chondrosarcomas
DOID:5867	clear cell chondrosarcoma	clear cell chondrosarcoma|clear cell chondrosarcomas
DOID:5874	retroperitoneal germ cell neoplasm	germ cell neoplasm of retroperitoneum|germ cell neoplasm of the retroperitoneum|germ cell tumor of retroperitoneum|germ cell tumor of the retroperitoneum|germ cell tumour of retroperitoneum|germ cell tumour of the retroperitoneum|retroperitoneal germ cell neoplasm|retroperitoneal germ cell neoplasms|retroperitoneal germ cell tumor|retroperitoneal germ cell tumors|retroperitoneal germ cell tumour|retroperitoneal germ cell tumours
DOID:5875	retroperitoneal cancer	mal neo retroperitoneum|mal tum periton+retroperiton|malig neop of retroperitoneum|malig neop retroper/perit nos|malig neop retroperit/periton|malig neop retroperitoneum nos|malig retroperitoneal tumor|malig retroperitoneal tumors|malig retroperitoneal tumour|malig retroperitoneal tumours|malignant neoplasm of malignant neoplasm of retroperitoneum and peritoneum|malignant neoplasm of peritoneum and retroperitoneum|malignant neoplasm of retroperitoneum|malignant neoplasm of retroperitoneum and peritoneum|malignant neoplasm of retroperitoneum and peritoneum nos|malignant neoplasm of retroperitoneum nos|malignant neoplasm of the retroperitoneum|malignant retroperitoneal neoplasm|malignant retroperitoneal neoplasms|malignant retroperitoneal tumor|malignant retroperitoneal tumors|malignant retroperitoneal tumour|malignant retroperitoneal tumours|malignant tumor of peritoneum and retroperitoneum|malignant tumor of retroperitoneum|malignant tumour of peritoneum and retroperitoneum|malignant tumour of retroperitoneum|neoplasm of retroperitoneum|neoplasm of the retroperitoneum|retroperitoneal cancer|retroperitoneal cancers|retroperitoneal neopl|retroperitoneal neoplasm|retroperitoneal neoplasms|retroperitoneum|tumor of retroperitoneum|tumour of retroperitoneum
DOID:5877	endocardium cancer	endocardial neoplasm|endocardial neoplasms|endocardial tumor|endocardial tumors|endocardial tumour|endocardial tumours|endocardium cancer|endocardium cancers|malig neop endocardium|malignant endocardial neoplasm|malignant endocardial neoplasms|malignant endocardial tumor|malignant endocardial tumors|malignant endocardial tumour|malignant endocardial tumours|malignant neoplasm of endocardium|malignant neoplasm of the endocardium|malignant tumor endocardium|malignant tumor of endocardium|malignant tumor of the endocardium|malignant tumour endocardium|malignant tumour of endocardium|malignant tumour of the endocardium|neoplasm of endocardium|neoplasm of the endocardium|tumor of endocardium|tumor of the endocardium|tumour of endocardium|tumour of the endocardium
DOID:5889	anaplastic ependymoma	anaplastic ependymal neoplasm|anaplastic ependymal neoplasms|anaplastic ependymal tumor|anaplastic ependymal tumors|anaplastic ependymal tumour|anaplastic ependymal tumours|anaplastic ependymoma|anaplastic ependymomas|cns neoplasm malignant ependymoma|cns neoplasm malignant ependymomas|ependymoma malignant|malignant ependymoma|malignant ependymomas|malignant epithelial ependymoma|malignant epithelial ependymomas|undifferentiated ependymal neoplasm|undifferentiated ependymal neoplasms|undifferentiated ependymal tumor|undifferentiated ependymal tumors|undifferentiated ependymal tumour|undifferentiated ependymal tumours|undifferentiated ependymoma|undifferentiated ependymomas|who grade 3 ependymal neoplasm|who grade 3 ependymal neoplasms|who grade 3 ependymal tumor|who grade 3 ependymal tumors|who grade 3 ependymal tumour|who grade 3 ependymal tumours|who grade iii ependymal neoplasm|who grade iii ependymal neoplasms|who grade iii ependymal tumor|who grade iii ependymal tumors|who grade iii ependymal tumour|who grade iii ependymal tumours
DOID:5890	malignant adult ependymoma	adult anaplastic ependymoma|adult anaplastic ependymomas|adult malignant ependymoma|adult malignant ependymomas|malignant adult ependymoma|malignant adult ependymomas
DOID:5893	childhood malignant mesenchymoma	childhood malignant mesenchymoma|childhood malignant mesenchymomas|pediatric malignant mesenchymoma|pediatric malignant mesenchymomas
DOID:5894	adult malignant mesenchymoma	adult malignant mesenchymoma|adult malignant mesenchymomas
DOID:5907	penis non-invasive verrucous carcinoma	non-invasive penile verrucous carcinoma|non-invasive penile verrucous carcinomas|non-invasive verrucous carcinoma of penis|non-invasive verrucous carcinoma of the penis|penis non-invasive verrucous carcinoma|penis non-invasive verrucous carcinomas
DOID:5908	penis verrucous carcinoma	penis verrucous carcinoma|penis verrucous carcinomas|verrucous carcinoma of penis|verrucous carcinoma of the penis|verrucous penile carcinoma|verrucous penile carcinomas|verrucous penile squamous carcinoma|verrucous penile squamous carcinomas|verrucous squamous carcinoma of penis|verrucous squamous carcinoma of the penis
DOID:5913	brachial plexus neoplasm	brachial plexus neoplasm|brachial plexus neoplasms|brachial plexus tumor|brachial plexus tumors|brachial plexus tumour|brachial plexus tumours|neoplasm of brachial plexus|neoplasm of the brachial plexus|tumor of brachial plexus|tumor of the brachial plexus|tumour of brachial plexus|tumour of the brachial plexus
DOID:5914	nonencapsulated sclerosing carcinoma	diffuse sclerosing variant thyroid gland papillary carcinoma|diffuse sclerosing variant thyroid gland papillary carcinomas|nonencapsul sclerosing adenoca|nonencapsul sclerosing tumor|nonencapsul sclerosing tumors|nonencapsul sclerosing tumour|nonencapsul sclerosing tumours|nonencapsulated sclerosing adenocarcinoma|nonencapsulated sclerosing adenocarcinomas|nonencapsulated sclerosing ca|nonencapsulated sclerosing carcinoma|nonencapsulated sclerosing carcinomas|nonencapsulated sclerosing neoplasm|nonencapsulated sclerosing neoplasms|nonencapsulated sclerosing papillary thyroid carcinoma|nonencapsulated sclerosing papillary thyroid carcinomas|nonencapsulated sclerosing tumor|nonencapsulated sclerosing tumors|nonencapsulated sclerosing tumour|nonencapsulated sclerosing tumours|thyroid gland diffuse sclerosing papillary carcinoma|thyroid gland diffuse sclerosing papillary carcinomas
DOID:5921	adult brainstem mixed glioma	adult brain stem mixed glioma|adult brain stem mixed gliomas|adult brainstem mixed glioma|adult brainstem mixed gliomas
DOID:5922	adult brainstem astrocytoma	adult brain stem astrocytoma|adult brain stem astrocytomas|adult brainstem astrocytoma|adult brainstem astrocytomas
DOID:5923	distal biliary tract carcinoma	carcinoma of the distal biliary tract|distal bile duct carcinoma|distal bile duct carcinomas|distal biliary tract carcinoma|distal biliary tract carcinomas
DOID:5926	extrahepatic bile duct small cell adenocarcinoma	extrahepatic bile duct small cell adenocarcinoma|extrahepatic bile duct small cell adenocarcinomas|extrahepatic bile duct small cell carcinoma|extrahepatic bile duct small cell carcinomas|extrahepatic bile duct small cell nec|extrahepatic bile duct small cell neuroendocrine carcinoma|extrahepatic bile duct small cell neuroendocrine carcinomas|oat cell carcinoma of extrahepatic bile duct|oat cell carcinoma of the extrahepatic bile duct|oat cell extrahepatic bile duct carcinoma|oat cell extrahepatic bile duct carcinomas|small cell adenocarcinoma of extrahepatic bile duct|small cell adenocarcinoma of the extrahepatic bile duct|small cell carcinoma of extrahepatic bile duct|small cell extrahepatic bile duct carcinoma|small cell extrahepatic bile duct carcinomas|small cell extrahepatic bile duct neuroendocrine carcinoma|small cell extrahepatic bile duct neuroendocrine carcinomas
DOID:5936	ovarian mixed germ cell neoplasm	malignant mixed germ cell tumor of ovary|malignant mixed germ cell tumour of ovary|mixed germ cell neoplasm of ovary|mixed germ cell neoplasm of the ovary|mixed germ cell tumor of ovary|mixed germ cell tumor of the ovary|mixed germ cell tumour of ovary|mixed germ cell tumour of the ovary|ovarian germ cell tumor mixed|ovarian germ cell tumour mixed|ovarian mixed germ cell neoplasm|ovarian mixed germ cell neoplasms|ovarian mixed germ cell tumor|ovarian mixed germ cell tumors|ovarian mixed germ cell tumour|ovarian mixed germ cell tumours
DOID:5940	malignant peripheral nerve sheath tumor	malig periph nerve sheath tum|malignant neoplasm of the peripheral nerve sheath|malignant neurilemmoma|malignant neurilemmomas|malignant neurilemoma|malignant neurilemomas|malignant neurofibroma|malignant neurofibromas|malignant peripheral nerve sheath neoplasm|malignant peripheral nerve sheath neoplasms|malignant peripheral nerve sheath tumor|malignant peripheral nerve sheath tumors|malignant peripheral nerve sheath tumour|malignant peripheral nerve sheath tumours|malignant schwannoma|malignant schwannomas|mpnst|mpnst - malignant peripheral nerve sheath tumor|mpnst - malignant peripheral nerve sheath tumors|mpnst - malignant peripheral nerve sheath tumour|mpnst - malignant peripheral nerve sheath tumours|mpnst-mal perip ner sheath tum|neurilemmoma malignant|neurilemmosarcoma|neurilemmosarcomas|neurilemoma malignant|neurogenic sarcoma|neurogenic sarcomas|peripheral nerve sheath tumor malignant|peripheral nerve sheath tumour malignant|schwannoma malignant
DOID:5957	bladder urachal squamous cell carcinoma	bladder urachal squamous cell carcinoma|bladder urachal squamous cell carcinomas
DOID:5958	bladder urachal carcinoma	bladder urachal carcinoma|bladder urachal carcinomas|urachal cancer|urachal cancers|urachal carcinoma|urachal carcinomas
DOID:5973	kidney pelvis papillary carcinoma	kidney pelvis papillary carcinoma|kidney pelvis papillary carcinomas|papillary carcinoma of kidney pelvis|papillary carcinoma of renal pelvis|papillary carcinoma of the kidney pelvis|papillary carcinoma of the renal pelvis|renal pelvis papillary urothelial carcinoma|renal pelvis papillary urothelial carcinomas
DOID:5974	renal pelvis transitional cell carcinoma	renal pelvis transitional cell carcinoma|renal pelvis transitional cell carcinomas|urothelial cell carcinoma of renal pelvis
DOID:5982	kidney fibrosarcoma	fibrosarcoma of kidney|fibrosarcoma of the kidney|kidney fibrosarcoma|kidney fibrosarcomas|renal fibrosarcoma|renal fibrosarcomas
DOID:5983	kidney osteogenic sarcoma	kidney extraskeletal osteosarcoma|kidney extraskeletal osteosarcomas|kidney osteogenic sarcoma|kidney osteogenic sarcomas|kidney osteosarcoma|kidney osteosarcomas|osteogenic sarcoma of kidney|osteogenic sarcoma of the kidney|osteosarcoma of kidney|osteosarcoma of the kidney|renal extraskeletal osteosarcoma|renal extraskeletal osteosarcomas|renal osteogenic sarcoma|renal osteogenic sarcomas|renal osteosarcoma|renal osteosarcomas
DOID:5990	internal auditory canal meningioma	internal auditory canal meningioma|internal auditory canal meningiomas|meningioma of internal auditory canal|meningioma of the internal auditory canal
DOID:60003	Bartholin's gland cancer	bartholin's gland cancer|bartholin's gland cancers
DOID:60004	malignant cystadenoma	malignant cystadenoma|malignant cystadenomas
DOID:6001	breast fibrosarcoma	breast fibrosarcoma|breast fibrosarcomas|fibrosarcoma of breast|fibrosarcoma of the breast
DOID:6003	aleukemic leukemia cutis	aleukemic leukaemia cutis|aleukemic leukemia cutis
DOID:6004	aleukemic leukemia	aleukaemic leukaemia|aleukaemic leukaemia -retired-|aleukaemic leukaemia nos|aleukaemic leukaemias|aleukemic leukaemia|aleukemic leukaemia -retired-|aleukemic leukaemia nos|aleukemic leukaemias|aleukemic leukemia|aleukemic leukemia -retired-|aleukemic leukemia nos|aleukemic leukemias|leukaemia aleukemic|leukemia aleukemic
DOID:6015	adult central nervous system teratoma	adult central nervous system teratoma|adult central nervous system teratomas|adult cns teratoma|adult cns teratomas|teratoma of adult central nervous system|teratoma of adult cns|teratoma of the adult central nervous system|teratoma of the adult cns
DOID:6016	adult central nervous system mature teratoma	adult central nervous system mature teratoma|adult central nervous system mature teratomas
DOID:6017	central nervous system mature teratoma	central nervous system mature teratoma|central nervous system mature teratomas|cns mature teratoma|cns mature teratomas|mature teratoma of central nervous system|mature teratoma of cns|mature teratoma of the central nervous system|mature teratoma of the cns
DOID:6018	adult central nervous system immature teratoma	adult central nervous system immature teratoma|adult central nervous system immature teratomas
DOID:6019	central nervous system immature teratoma	central nervous system immature teratoma|central nervous system immature teratomas|cns immature teratoma|cns immature teratomas|immature teratoma of central nervous system|immature teratoma of cns|immature teratoma of the central nervous system|immature teratoma of the cns
DOID:6032	juvenile type testicular granulosa cell tumor	juvenil granulos cell tumur|juvenile granulosa cell tumor|juvenile granulosa cell tumors|juvenile granulosa cell tumour|juvenile granulosa cell tumours|juvenile type granulosa cell neoplasm|juvenile type granulosa cell neoplasms|juvenile type granulosa cell tumor|juvenile type granulosa cell tumors|juvenile type granulosa cell tumour|juvenile type granulosa cell tumours|juvenile type testicular granulosa cell tumor|juvenile type testicular granulosa cell tumors|juvenile type testicular granulosa cell tumour|juvenile type testicular granulosa cell tumours
DOID:6033	heart fibrosarcoma	cardiac fibrosarcoma|cardiac fibrosarcomas|fibrosarcoma of heart|fibrosarcoma of the heart|heart fibrosarcoma|heart fibrosarcomas
DOID:6034	heart malignant hemangiopericytoma	heart malignant hemangiopericytoma|heart malignant hemangiopericytomas|malignant cardiac hemangiopericytoma|malignant cardiac hemangiopericytomas|malignant heart hemangiopericytoma|malignant heart hemangiopericytomas|malignant hemangiopericytoma of heart|malignant hemangiopericytoma of the heart
DOID:6037	spindle cell intraocular melanoma	spindle cell intraocular melanoma|spindle cell intraocular melanomas|spindle cell melanoma of the uvea|spindle cell melanoma of uvea|spindle cell uveal melanoma|spindle cell uveal melanomas|uveal spindle cell melanoma|uveal spindle cell melanomas
DOID:6039	uveal melanoma	choroidal melanoma|choroidal melanomas|intraocular melanoma|intraocular melanoma nos|intraocular melanomas|iris melanoma|iris melanomas|melanoma of the uvea|melanoma of uvea|uveal melanoma|uveal melanomas|uveal tract melanoma|uveal tract melanomas
DOID:6041	choroid spindle cell melanoma	choroid spindle cell melanoma|choroid spindle cell melanomas|spindle cell melanoma of choroid|spindle cell melanoma of the choroid
DOID:6043	ciliary body spindle cell melanoma	ciliary body spindle cell melanoma|ciliary body spindle cell melanomas|spindle cell melanoma of ciliary body|spindle cell melanoma of the ciliary body
